BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Harbor Properties International LLC;Condo for sale;3895000;3;3.0;1884.0;70 Little West St Apt 26B;New York, NY 10004;70 Little West St Apt 26BNew York, NY 10004;New York;New York County;New York;Manhattan;70;70 Little W St #26b, New York, NY 10004, USA;40.7069489;-74.0169068
Brokered by Corcoran Brooklyn Heights;Co-op for sale;699000;1;1.0;2184.207862;114 Remsen St Apt A;Brooklyn, NY 11201;114 Remsen St Apt ABrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Remsen Street;114 Remsen St, Brooklyn, NY 11201, USA;40.6938368;-73.9941354
Brokered by J. Sikar Realty;Condo for sale;615000;3;2.0;1165.0;501 Surf Ave Apt 18F;Brooklyn, NY 11224;501 Surf Ave Apt 18FBrooklyn, NY 11224;Kings County;Brooklyn;Coney Island;Surf Avenue;Brightwater Towers East;Brightwater Towers East, 501 Surf Ave #18f, Brooklyn, NY 11224, USA;40.5755355;-73.9735905
Brokered by Joyce Realty;Co-op for sale;249000;2;1.0;800.0;12 Edgewater Park Unit B;Bronx, NY 10465;12 Edgewater Park Unit BBronx, NY 10465;United States;New York;Bronx County;The Bronx;Edgewater Park;12 Edgewater Park, Bronx, NY 10465, USA;;
Brokered by EXP Realty;Townhouse for sale;1290000;3;2.0;1998.0;1867 W 4th St;Brooklyn, NY 11223;1867 W 4th StBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;West 4th Street;1867 W 4th St, Brooklyn, NY 11223, USA;40.6021136;-73.9764056
Brokered by MAK Estates;Multi-family home for sale;850000;4;2.0;2375.0;18 Salamander Ct;Staten Island, NY 10309;18 Salamander CtStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Salamander Court;18 Salamander Ct, Staten Island, NY 10309, USA;40.5382166;-74.2235176
Brokered by Robert Defalco Realty, Inc.;House for sale;588000;3;2.0;1140.0;111 E Raleigh St;Staten Island, NY 10310;111 E Raleigh StStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;East Raleigh Avenue;111 E Raleigh Ave, Staten Island, NY 10310, USA;40.627807;-74.11527
Brokered by Century Homes Realty Group LLC;House for sale;1790000;4;2.0;2184.207862;69-55 Kessel St;Forest Hills, NY 11375;69-55 Kessel StForest Hills, NY 11375;United States;New York;Queens County;Queens;Kessel Street;69-55 Kessel St, Flushing, NY 11375, USA;40.7143213;-73.85144
Brokered by Best American Homes Inc;Multi-family home for sale;1175000;9;3.0;2184.207862;32-27 92nd St;East Elmhurst, NY 11369;32-27 92nd StEast Elmhurst, NY 11369;United States;New York;Queens County;Queens;92nd Street;32-27 92nd St, Flushing, NY 11369, USA;40.7579132;-73.8760761
Brokered by Douglas Elliman - Garden City;House for sale;579000;4;2.0;2184.207862;1523 Bayview Ave;Bronx, NY 10465;1523 Bayview AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Bayview Avenue;1523 Bayview Ave, Bronx, NY 10465, USA;40.8454504;-73.81776
Brokered by Robert E. Hill, Inc.;Co-op for sale;249000;1;1.0;850.0;601 Kappock St Apt 3N;Bronx, NY 10463;601 Kappock St Apt 3NBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;601;601 Kappock St #3n, Bronx, NY 10463, USA;40.8789773;-73.916004
Brokered by United Realty Associates;House for sale;2480000;3;2.0;3600.0;151-06 25th Ave;Whitestone, NY 11357;151-06 25th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;25th Avenue;15106 25th Ave, Whitestone, NY 11357, USA;40.7754585;-73.8125494
Brokered by Elite Real Estate Group 1 Llc;Multi-family home for sale;999000;4;3.0;2270.0;2415 Throop Ave;Bronx, NY 10469;2415 Throop AveBronx, NY 10469;United States;New York;Bronx County;The Bronx;Throop Avenue;2415 Throop Ave, Bronx, NY 10469, USA;40.8614806;-73.8513941
Brokered by Keller Williams Realty Liberty;Co-op for sale;228500;1;1.0;750.0;123-35 82nd Rd Unit 7U;Kew Gardens, NY 11415;123-35 82nd Rd Unit 7UKew Gardens, NY 11415;New York;Queens County;Queens;Kew Gardens;12335;12335 82nd Rd Apt 7h, Kew Gardens, NY 11415, USA;40.7115099;-73.82872
Brokered by Keller Williams Rlty Landmark;Co-op for sale;305000;2;1.0;2184.207862;164-11 Willets Point Blvd Unit 2;Whitestone, NY 11357;164-11 Willets Point Blvd Unit 2Whitestone, NY 11357;New York;Queens County;Queens;Whitestone;164- 11;164- 11 Willets Point Blvd #2, Whitestone, NY 11357, USA;40.783465;-73.7990603
Brokered by Hudson Group Realty Network Inc;Multi-family home for sale;1500000;6;2.0;3600.0;344 W 121st St;New York, NY 10027;344 W 121st StNew York, NY 10027;United States;New York;New York County;New York;West 121st Street;344 W 121st St, New York, NY 10027, USA;40.8082664;-73.9550742
Brokered by American Homes Group;Multi-family home for sale;778000;4;3.0;2185.0;126 Elizabeth St;Staten Island, NY 10310;126 Elizabeth StStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;Elizabeth Street;126 Elizabeth St, Staten Island, NY 10310, USA;40.6308436;-74.1204059
Brokered by E Realty International Corp;House for sale;850000;3;2.0;1320.0;151-23 12th Rd;Whitestone, NY 11357;151-23 12th RdWhitestone, NY 11357;United States;New York;Queens County;Queens;12th Road;151-23 12th Rd, Flushing, NY 11357, USA;40.7907048;-73.8110968
Brokered by Cross Country Realty;House for sale;428000;3;3.0;2184.207862;1126 E 73rd St Units 43 & 33;Brooklyn, NY 11234;1126 E 73rd St Units 43 & 33Brooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 73rd Street;1126 E 73rd St, Brooklyn, NY 11234, USA;40.6274951;-73.915694
Brokered by Elegran Real Estate And Development;Co-op for sale;639000;1;1.0;2184.207862;45 E End Ave Apt 5E;New York, NY 10028;45 E End Ave Apt 5ENew York, NY 10028;New York;New York County;New York;Manhattan;45;45 East End Ave #5e, New York, NY 10028, USA;40.77172;-73.9467052
Brokered by 5 Boro Realty Corp;House for sale;835000;3;2.0;2184.207862;4408 Flatlands Ave;Brooklyn, NY 11234;4408 Flatlands AveBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Flatlands Avenue;4408 Flatlands Ave, Brooklyn, NY 11234, USA;40.6226706;-73.9327329
Brokered by Douglas Elliman - Bayside;House for sale;1250000;3;2.0;1560.0;28-39 213th St;Bayside, NY 11360;28-39 213th StBayside, NY 11360;United States;;Queens County;Queens;213th Street;28-39 213th St, Flushing, NY 11360, USA;40.7756208;-73.7758933
Brokered by Remax Edge - RE/MAX EDGE;House for sale;1695000;5;3.0;2160.0;68 74th St;Brooklyn, NY 11209;68 74th StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;74th Street;68 74th St, Brooklyn, NY 11209, USA;40.633504;-74.034181
Brokered by REALHome Services & Solutions;House for sale;502900;4;2.0;1440.0;11718 Nashville Blvd;Cambria Heights, NY 11411;11718 Nashville BlvdCambria Heights, NY 11411;United States;New York;Queens County;Queens;Nashville Boulevard;11718 Nashville Blvd, Queens, NY 11411, USA;40.6958663;-73.7450046
Brokered by Giner Real Estate Inc.;Multi-family home for sale;749000;4;2.0;1420.0;2119 Lurting Ave;Bronx, NY 10461;2119 Lurting AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Lurting Avenue;2119 Lurting Ave, Bronx, NY 10461, USA;40.8547724;-73.8583315
Brokered by JAPHOMES Inc;Multi-family home for sale;529000;5;2.0;2248.0;216 Beach 31st St;Far Rockaway, NY 11691;216 Beach 31st StFar Rockaway, NY 11691;United States;New York;Queens County;Queens;B 31st Street;216 B 31st St, Far Rockaway, NY 11691, USA;40.5952037;-73.7634372
Brokered by Metro Net Realty Llc;House for sale;705000;2;2.0;2184.207862;76-22 57th Rd;Middle Village, NY 11379;76-22 57th RdMiddle Village, NY 11379;United States;New York;Queens County;Queens;57th Road;76-22 57th Rd, Flushing, NY 11379, USA;40.727192;-73.883684
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;549000;1;1.0;2184.207862;535 E 72nd St Apt 4A;New York, NY 10021;535 E 72nd St Apt 4ANew York, NY 10021;New York;New York County;New York;Manhattan;535;535 E 72nd St #4a, New York, NY 10021, USA;40.7662222;-73.9516342
Brokered by Andrew Lichtenstein Inc;Multi-family home for sale;7200000;3;;48000.0;3650 Bronx Blvd;Bronx, NY 10467;3650 Bronx BlvdBronx, NY 10467;United States;New York;Bronx County;The Bronx;Bronx Boulevard;3650 Bronx Blvd, Bronx, NY 10467, USA;40.8814635;-73.8671293
Brokered by EXP Realty;Co-op for sale;335000;2;1.0;745.0;35-35 82nd St Unit 24;Jackson Heights, NY 11372;35-35 82nd St Unit 24Jackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;3535;3535 82nd St Apt 24, Jackson Heights, NY 11372, USA;40.7517899;-73.88467
Brokered by Coldwell Banker American Homes;House for sale;599000;3;2.0;2184.207862;312F Beach 101st St;Rockaway Park, NY 11694;312F Beach 101st StRockaway Park, NY 11694;United States;New York;Queens County;Queens;Beach 101st Street;312F Beach 101st St, Rockaway Park, NY 11694, USA;40.5853206;-73.8221893
Brokered by Matias Real Estate;Townhouse for sale;334999;1;2.0;1059.0;306 Ilyssa Way;Staten Island, NY 10312;306 Ilyssa WayStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Ilyssa Way;306 Ilyssa Way, Staten Island, NY 10312, USA;40.560143;-74.1854357
Brokered by TREBACH REALTY INC;Co-op for sale;295000;1;1.0;2184.207862;3001 Henry Hudson Pkwy Apt 3I;Bronx, NY 10463;3001 Henry Hudson Pkwy Apt 3IBronx, NY 10463;United States;New York;Bronx County;The Bronx;Henry Hudson Parkway;3001 Henry Hudson Pkwy, Bronx, NY 10463, USA;40.883124;-73.9164633
Brokered by SIMPLON ENTERPRISES INC;House for sale;560000;3;2.0;2184.207862;815 Havemeyer Ave;Bronx, NY 10473;815 Havemeyer AveBronx, NY 10473;United States;New York;Bronx County;The Bronx;Havemeyer Avenue;815 Havemeyer Ave, Bronx, NY 10473, USA;40.824234;-73.84638
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;549000;1;1.0;2184.207862;535 E 72nd St Apt 4A;New York, NY 10021;535 E 72nd St Apt 4ANew York, NY 10021;New York;New York County;New York;Manhattan;535;535 E 72nd St #4a, New York, NY 10021, USA;40.7662222;-73.9516342
Brokered by EXP Realty;Co-op for sale;335000;2;1.0;745.0;35-35 82nd St Unit 24;Jackson Heights, NY 11372;35-35 82nd St Unit 24Jackson Heights, NY 11372;New York;;Queens;Jackson Heights;3535;3535 82nd St Apt 24, Jackson Heights, NY 11372, USA;40.7517899;-73.88467
Brokered by Matias Real Estate;Townhouse for sale;334999;1;2.0;1059.0;306 Ilyssa Way;Staten Island, NY 10312;306 Ilyssa WayStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Ilyssa Way;306 Ilyssa Way, Staten Island, NY 10312, USA;40.560143;-74.1854357
Brokered by TREBACH REALTY INC;Co-op for sale;295000;1;1.0;2184.207862;3001 Henry Hudson Pkwy Apt 3I;Bronx, NY 10463;3001 Henry Hudson Pkwy Apt 3IBronx, NY 10463;United States;New York;Bronx County;The Bronx;Henry Hudson Parkway;3001 Henry Hudson Pkwy, Bronx, NY 10463, USA;40.883124;-73.9164633
Brokered by BERGEN BASIN REALTY;House for sale;799000;3;2.0;2279.0;6911 Avenue Y;Brooklyn, NY 11234;6911 Avenue YBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Avenue Y;6911 Avenue Y, Brooklyn, NY 11234, USA;40.6131995;-73.9019711
Brokered by COMPASS;Condo for sale;720000;3;2.0;1046.0;782 Madison St Apt 1A;Brooklyn, NY 11221;782 Madison St Apt 1ABrooklyn, NY 11221;New York;Kings County;Brooklyn;Bedford-Stuyvesant;782;782 Madison St #1a, Brooklyn, NY 11221, USA;40.6873745;-73.9264057
Brokered by Red Door Realty Group;Contingent;249999;1;1.0;750.0;3747 Amboy Rd Apt 2A;Staten Island, NY 10308;3747 Amboy Rd Apt 2AStaten Island, NY 10308;New York;Richmond County;Staten Island;Great Kills;3747;3747 Amboy Rd #2a, Staten Island, NY 10308, USA;40.5523555;-74.1450647
Brokered by La Rosa Realty New York Llc;House for sale;850000;3;2.0;2184.207862;135-20 Lefferts Blvd;South Ozone Park, NY 11420;135-20 Lefferts BlvdSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;Lefferts Boulevard;135-20 Lefferts Blvd, Jamaica, NY 11420, USA;40.6699378;-73.8213422
Brokered by RE MAX Real Estate Professionals;Multi-family home for sale;750000;3;2.0;2184.207862;457 Van Sicklen St;Brooklyn, NY 11223;457 Van Sicklen StBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;Van Sicklen Street;457 Van Sicklen St, Brooklyn, NY 11223, USA;40.5931071;-73.9753582
Brokered by Genstone Properties;Multi-family home for sale;625000;5;;2184.207862;198 Shepherd Ave;Brooklyn, NY 11208;198 Shepherd AveBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Shepherd Avenue;198 Shepherd Ave, Brooklyn, NY 11208, USA;;
Brokered by Nyc Elite Homes Inc;House for sale;650000;2;2.0;896.0;76-18 251st St;Bellerose, NY 11426;76-18 251st StBellerose, NY 11426;United States;New York;Queens County;Queens;251st Street;76-18 251st St, Jamaica, NY 11426, USA;40.7452362;-73.7204545
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP;Townhouse for sale;4845000;9;6.0;5939.0;2099 Fifth Ave;New York, NY 10035;2099 Fifth AveNew York, NY 10035;United States;New York;New York County;New York;5th Avenue;2099 5th Ave, New York, NY 10035, USA;40.808933;-73.940052
Brokered by COMPASS;Co-op for sale;580000;1;1.0;2184.207862;305 W 55th St Apt 2A;Manhattan, NY 10019;305 W 55th St Apt 2AManhattan, NY 10019;New York;New York County;New York;Manhattan;305;305 W 55th St #2a, New York, NY 10019, USA;40.7657861;-73.9842196
Brokered by Corcoran East Side;Co-op for sale;887785;2;2.0;2184.207862;575 Main St Apt 1602;New York, NY 10044;575 Main St Apt 1602New York, NY 10044;New York;;Queens;Flushing;57-5;57-5 Main St #1602, Flushing, NY 11355, USA;40.7462427;-73.8259167
Brokered by RE MAX Real Estate Professionals;Condo for sale;499999;3;1.0;701.0;2362 E 13th St Apt 2B;Brooklyn, NY 11229;2362 E 13th St Apt 2BBrooklyn, NY 11229;New York;Kings County;Brooklyn;Homecrest;2362;2362 E 13th St #2b, Brooklyn, NY 11229, USA;40.5925315;-73.9574046
Brokered by Ardebili Michael;Pending;599000;4;2.0;1348.0;1527 Gillespie Ave Unit 1A;Bronx, NY 10461;1527 Gillespie Ave Unit 1ABronx, NY 10461;New York;Bronx County;The Bronx;Pelham Bay;1527;1527 Gillespie Ave #1a, Bronx, NY 10461, USA;40.84296;-73.8312695
Brokered by Douglas Elliman - Garden City;Pending;1149000;5;4.0;2169.0;48 Highland Pl;Brooklyn, NY 11208;48 Highland PlBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Highland Place;48 Highland Pl, Brooklyn, NY 11208, USA;40.6841571;-73.8820567
Brokered by Momentum Real Estate Llc;House for sale;988000;4;;2400.0;4 Minna St;Staten Island, NY 10304;4 Minna StStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Minna Street;4 Minna St, Staten Island, NY 10304, USA;40.5945187;-74.0904783
Brokered by REALHome Services & Solutions;House for sale;764600;4;2.0;1884.0;187 Greencroft Ave;Staten Island, NY 10308;187 Greencroft AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Greencroft Avenue;187 Greencroft Ave, Staten Island, NY 10308, USA;40.5496155;-74.1391082
Brokered by Prince & Associates Realty Grp;Condo for sale;699900;1;1.0;2184.207862;11-25 47th Ave Unit 1;Long Island City, NY 11101;11-25 47th Ave Unit 1Long Island City, NY 11101;New York;Queens County;Queens;Long Island City;1125;1125 47th Ave APT 1, Long Island City, NY 11101, USA;40.745068;-73.949763
Brokered by Garfield, Leslie J. & Co., Inc.;Townhouse for sale;5495000;5;4.0;4296.0;769 Carroll St;Brooklyn, NY 11215;769 Carroll StBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;Carroll Street;769 Carroll St, Brooklyn, NY 11215, USA;40.6729621;-73.9751283
Brokered by Winzone Realty Inc;House for sale;3900000;5;6.0;7723.0;14446 Boulevard;Malba, NY 11357;14446 BoulevardMalba, NY 11357;United States;New York;Queens County;Queens;Boulevard;144-46 Boulevard, Malba, NY 11357, USA;40.7924222;-73.8260759
Brokered by Brown Harris Stevens;Co-op for sale;999000;2;2.0;2184.207862;531 Main St Apt 520;Manhattan, NY 10044;531 Main St Apt 520Manhattan, NY 10044;New York;New York County;New York;Manhattan;531;531 Main St #520, New York, NY 10044, USA;40.7617289;-73.9502411
Brokered by COMPASS;Townhouse for sale;10495000;7;4.0;5100.0;48 Garden Pl;Brooklyn, NY 11201;48 Garden PlBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;Garden Place;48 Garden Pl, Brooklyn, NY 11201, USA;40.6919769;-73.9967879
Brokered by Keller Williams Realty Greater Nassau;Co-op for sale;188000;3;1.0;2184.207862;6011 Broadway Apt L5;Woodside, NY 11377;6011 Broadway Apt L5Woodside, NY 11377;New York;Queens County;Queens;Woodside;6011;6011 Broadway Apt L5, Woodside, NY 11377, USA;40.7511899;-73.90201
Brokered by Robert Defalco Realty, Inc.;House for sale;499900;3;2.0;1232.0;40 Bunnell Ct Unit A;Staten Island, NY 10312;40 Bunnell Ct Unit AStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Bunnell Court;40 Bunnell Ct, Staten Island, NY 10312, USA;40.5527401;-74.1995549
Brokered by COMPASS;Co-op for sale;545000;1;1.0;2184.207862;28 W 87th St Apt 4A;Manhattan, NY 10024;28 W 87th St Apt 4AManhattan, NY 10024;New York;New York County;New York;Manhattan;28;28 W 87th St #4a, New York, NY 10024, USA;40.7863158;-73.9702042
Brokered by Asimina Perikleous;Condo for sale;705000;2;2.0;2184.207862;66-41 69th St Unit 1E;Middle Village, NY 11379;66-41 69th St Unit 1EMiddle Village, NY 11379;New York;Queens County;Queens;Flushing;6641;6641 69th St # P-1, Flushing, NY 11379, USA;40.7135957;-73.8863491
Brokered by RE/MAX Team;House for sale;1289000;4;4.0;2184.207862;257-03 80th Ave;Glen Oaks, NY 11004;257-03 80th AveGlen Oaks, NY 11004;United States;New York;Queens County;Queens;80th Avenue;257-03 80th Ave, Queens, NY 11004, USA;40.7445255;-73.7137434
Brokered by Sold By Bart R E Partners Inc;Co-op for sale;389000;2;1.0;2184.207862;62-19 53rd Ave Unit 3P;Maspeth, NY 11378;62-19 53rd Ave Unit 3PMaspeth, NY 11378;New York;Queens County;Queens;Maspeth;6219;6219 53rd Ave Apt 3p, Maspeth, NY 11378, USA;40.7317199;-73.90176
Brokered by Homedax Real Estate Llc;Co-op for sale;350000;2;1.0;2184.207862;414 61st St Apt 4A;Brooklyn, NY 11220;414 61st St Apt 4ABrooklyn, NY 11220;New York;;Brooklyn;Sunset Park;414;414 61st St #4a, Brooklyn, NY 11220, USA;40.6397364;-74.0186847
Brokered by RE/MAX Team;House for sale;1289000;4;4.0;2184.207862;257-03 80th Ave;Glen Oaks, NY 11004;257-03 80th AveGlen Oaks, NY 11004;United States;New York;Queens County;Queens;80th Avenue;257-03 80th Ave, Queens, NY 11004, USA;40.7445255;-73.7137434
Brokered by Robert Defalco Realty, Inc.;House for sale;499900;3;2.0;1232.0;40 Bunnell Ct Unit A;Staten Island, NY 10312;40 Bunnell Ct Unit AStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Bunnell Court;40 Bunnell Ct, Staten Island, NY 10312, USA;40.5527401;-74.1995549
Brokered by Homedax Real Estate Llc;Co-op for sale;350000;2;1.0;2184.207862;414 61st St Apt 4A;Brooklyn, NY 11220;414 61st St Apt 4ABrooklyn, NY 11220;New York;Kings County;Brooklyn;Sunset Park;414;414 61st St #4a, Brooklyn, NY 11220, USA;40.6397364;-74.0186847
Brokered by Corcoran SoHo;Condo for sale;295000;3;1.0;2184.207862;48 W 138th St Apt 6F;New York, NY 10037;48 W 138th St Apt 6FNew York, NY 10037;New York;New York County;New York;Manhattan;48;48 W 138th St #6f, New York, NY 10037, USA;40.8153693;-73.9384161
Brokered by SkyLimit Realty Group;Multi-family home for sale;918000;4;3.0;2184.207862;88-04 69th Rd;Forest Hills, NY 11375;88-04 69th RdForest Hills, NY 11375;United States;New York;Queens County;Queens;69th Road;88-04 69th Rd, Forest Hills, NY 11375, USA;40.7093093;-73.8548324
Brokered by EXP Realty;Multi-family home for sale;1799000;4;3.0;3176.0;10005 69th Ave;Forest Hills, NY 11375;10005 69th AveForest Hills, NY 11375;United States;New York;Queens County;Queens;69th Avenue;100-05 69th Ave, Forest Hills, NY 11375, USA;40.7196606;-73.8507871
Brokered by RE MAX Edge;Multi-family home for sale;989000;4;2.0;1827.0;2374 E 17th St;Brooklyn, NY 11229;2374 E 17th StBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;East 17th Street;2374 E 17th St, Brooklyn, NY 11229, USA;40.5927382;-73.9536851
Brokered by Re/Max Real Estate Professionals;Multi-family home for sale;890000;5;2.0;2144.0;146 Cedar Ave;Staten Island, NY 10305;146 Cedar AveStaten Island, NY 10305;United States;;Richmond County;Staten Island;Cedar Avenue;146 Cedar Ave, Staten Island, NY 10305, USA;40.5960203;-74.0673498
Brokered by Cohen And Cohen Consulting;Condo for sale;469888;2;2.0;1164.0;152 Tier St Apt 211C;Bronx, NY 10464;152 Tier St Apt 211CBronx, NY 10464;United States;New York;Bronx County;The Bronx;Tier Street;152 Tier St, Bronx, NY 10464, USA;40.8480712;-73.7861809
Brokered by Ubiq;Co-op for sale;310000;2;1.0;2184.207862;655 Riverside Dr Apt 5A;New York, NY 10031;655 Riverside Dr Apt 5ANew York, NY 10031;New York;New York County;New York;Manhattan;655;655 Riverside Dr #5a, New York, NY 10031, USA;;
Brokered by Brown Harris Stevens;Co-op for sale;479000;1;1.0;2184.207862;335 W 85th St Apt 4A;Manhattan, NY 10024;335 W 85th St Apt 4AManhattan, NY 10024;New York;New York County;New York;Manhattan;335;335 W 85th St #4a, New York, NY 10024, USA;40.788879;-73.9794905
Brokered by Winzone Realty Inc;House for sale;1290000;4;3.0;2184.207862;141-03 15th Ave;Whitestone, NY 11357;141-03 15th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;15th Avenue;141-03 15th Ave, Flushing, NY 11357, USA;40.7848355;-73.8276854
Brokered by COMPASS;Townhouse for sale;4250000;3;4.0;3376.0;189 Prospect Pl Apt 1;Brooklyn, NY 11238;189 Prospect Pl Apt 1Brooklyn, NY 11238;New York;Kings County;Brooklyn;Prospect Heights;189;189 Prospect Pl #1, Brooklyn, NY 11238, USA;40.6781953;-73.9702616
Brokered by COMPASS;Townhouse for sale;7400000;4;;3700.0;413 Degraw St;Brooklyn, NY 11217;413 Degraw StBrooklyn, NY 11217;United States;New York;Kings County;Brooklyn;Degraw Street;413 Degraw St, Brooklyn, NY 11217, USA;40.6820656;-73.9903833
Brokered by COMPASS;House for sale;899000;3;2.0;2184.207862;46-02 190th St;Flushing, NY 11358;46-02 190th StFlushing, NY 11358;United States;New York;Queens County;Queens;190th Street;46-2 190th St, Flushing, NY 11358, USA;40.7523748;-73.7900912
Brokered by Douglas Elliman - 575 Madison Ave;House for sale;16500000;2;2.0;5834.0;245 W 18th St;New York, NY 10011;245 W 18th StNew York, NY 10011;United States;New York;New York County;New York;West 18th Street;245 W 18th St, New York, NY 10011, USA;40.7420282;-73.9997276
Brokered by Joyce Realty;Co-op for sale;659000;3;2.0;1300.0;3 Edgewater Park Unit 3A;Bronx, NY 10465;3 Edgewater Park Unit 3ABronx, NY 10465;New York;Bronx County;The Bronx;East Bronx;3;3 Edgewater Park #3a, Bronx, NY 10465, USA;40.8224429;-73.8109606
Brokered by Fave Realty Inc;House for sale;1150000;5;3.0;2184.207862;162-31 91st St;Howard Beach, NY 11414;162-31 91st StHoward Beach, NY 11414;United States;New York;Queens County;Queens;91st Street;162-31 91st St, Howard Beach, NY 11414, USA;40.6529502;-73.8400922
Brokered by Sowae Corp;Multi-family home for sale;499000;5;2.0;2184.207862;752 Rutland Rd;Brooklyn, NY 11203;752 Rutland RdBrooklyn, NY 11203;United States;New York;Kings County;Brooklyn;Rutland Road;752 Rutland Rd, Brooklyn, NY 11203, USA;40.6601399;-73.9354891
Brokered by Landmark Realty;House for sale;725000;3;2.0;1476.0;480 Lynn St;Staten Island, NY 10306;480 Lynn StStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Lynn Street;480 Lynn St, Staten Island, NY 10306, USA;40.5582278;-74.1173549
Brokered by Century Homes Realty Group LLC;Condo for sale;929000;3;2.0;2184.207862;24010A Oak Park Dr Unit 23A;Douglaston, NY 11362;24010A Oak Park Dr Unit 23ADouglaston, NY 11362;New York;Queens County;Queens;Douglaston;24010A;24010A Oak Park Dr # 23a, Douglaston, NY 11362, USA;40.7459681;-73.7331069
Brokered by Magic Of Great Neck Realty Inc;Co-op for sale;629000;2;2.0;1600.0;27110 Grand Central Pkwy Apt 22N;Floral Park, NY 11005;27110 Grand Central Pkwy Apt 22NFloral Park, NY 11005;New York;Queens County;Queens;Queens Village;27110;27110 Grand Central Pkwy #22n, Queens Village, NY 11005, USA;40.7564761;-73.7212008
Brokered by Robert Defalco Realty, Inc.;House for sale;285000;3;1.0;1428.0;72 Holland Ave;Staten Island, NY 10303;72 Holland AveStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Holland Avenue;72 Holland Ave, Staten Island, NY 10303, USA;40.6384738;-74.1714633
Brokered by NextHome Empire;Co-op for sale;315000;2;1.0;2184.207862;21-48 35th St Unit 5G;Astoria, NY 11105;21-48 35th St Unit 5GAstoria, NY 11105;New York;Queens County;Queens;Astoria;21-48;21-48 35th St #5b, Queens, NY 11105, USA;40.7758184;-73.907993
Brokered by E Realty International Corp;Condo for sale;698000;2;2.0;824.0;142-18 38th Ave Unit 7D;Flushing, NY 11354;142-18 38th Ave Unit 7DFlushing, NY 11354;New York;Queens County;Queens;Flushing;142-18;142-18 38th Ave #7d, Queens, NY 11354, USA;40.7616652;-73.826414
Brokered by S H V Real Estate Corp;House for sale;849000;4;3.0;2184.207862;87-01 Commonwealth Blvd;Bellerose, NY 11426;87-01 Commonwealth BlvdBellerose, NY 11426;United States;New York;Queens County;Queens;Commonwealth Boulevard;87-01 Commonwealth Blvd, Jamaica, NY 11426, USA;40.7299635;-73.7195673
Brokered by COMPASS;Townhouse for sale;1775000;6;4.0;4900.0;642 W 207th St;Manhattan, NY 10034;642 W 207th StManhattan, NY 10034;United States;New York;New York County;New York;West 207th Street;642 W 207th St, New York, NY 10034, USA;40.8685757;-73.9220436
Brokered by Sotheby's International Realty - Downtown Manhattan;Townhouse for sale;3850000;4;2.0;2160.0;420 E 84th St;New York, NY 10028;420 E 84th StNew York, NY 10028;United States;New York;New York County;New York;East 84th Street;420 E 84th St, New York, NY 10028, USA;40.7750748;-73.9496097
Brokered by Brown Harris Stevens - 1926 Broadway;Condo for sale;4500000;5;4.0;3180.0;377 Rector Pl Ph B;Manhattan, NY 10280;377 Rector Pl Ph BManhattan, NY 10280;United States;New York;New York County;New York;Rector Place;377 Rector Pl, New York, NY 10280, USA;40.709894;-74.017865
